Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
71,Estimates,WORLD,,900,,,1.0,World,0,2020.0,7804973.773,7840952.88,3943612.192,3897340.688,60.128,101.187,29.736,71958.294,9.179,71958.214,0.918,75.506,135132.602,12798.699,17.237,2.349,1.075,28.226,105.9,63174.308,34316.609,28857.699,8.058,72.036,69.408,74.789,60.401,57.809,63.101,16.815,15.199,18.315,7.989,7.048,8.681,3833.912,28.296,131966.676,5149.489,37.645,83.691,93.302,73.497,185.65,218.242,151.54,74.198,90.009,57.59,146.332,178.611,112.724,0,0
144,Estimates,Sub-Saharan Africa,b,1834,,,202.0,SDG region,1828,2020.0,1094853.689,1109259.46,552495.748,556763.711,50.733,99.233,17.517,28959.146,26.101,28811.542,2.598,26.68,38844.136,5996.12,35.01,4.656,1.987,29.096,103.4,9884.99,5222.351,4662.639,8.909,60.312,58.43,62.216,51.469,49.718,53.216,12.658,11.779,13.436,5.807,5.201,6.271,1938.389,50.037,37300.352,2819.548,73.856,186.177,199.599,172.509,361.348,395.323,327.26,172.675,191.401,153.808,292.789,326.908,258.984,-147.723,-0.133
216,Estimates,Northern Africa and Western Asia,,1833,,,747.0,SDG region,1828,2020.0,534589.79,538055.459,276874.256,261181.204,43.119,106.008,25.463,8574.92,15.913,6931.338,1.288,53.816,11658.367,865.252,21.635,2.846,1.337,29.156,105.2,3083.447,1719.195,1364.252,5.722,72.19,69.747,74.829,59.36,57.029,61.869,14.676,13.207,16.038,6.364,5.534,6.972,238.986,20.49,11451.661,302.365,25.859,55.015,63.739,45.464,155.888,187.191,120.857,54.353,66.207,40.93,129.85,159.837,96.319,-1643.624,-3.05
288,Estimates,Central and Southern Asia,,1831,,,62.0,SDG region,1828,2020.0,2032909.745,2044342.31,1044801.476,999540.834,197.888,104.528,26.216,23397.838,11.444,22865.131,1.118,61.999,37921.609,2669.926,18.548,2.279,1.043,27.801,107,14523.771,7993.824,6529.947,7.104,69.849,68.02,71.831,57.872,56.047,59.847,14.552,13.58,15.517,6.863,6.312,7.325,1155.465,30.423,36933.892,1415.865,37.128,75.751,83.141,67.902,205.317,234.988,173.696,74.563,90.132,58.088,170.056,200.04,138.172,-532.829,-0.261
360,Estimates,Eastern and South-Eastern Asia,,1832,,,753.0,SDG region,1828,2020.0,2329574.583,2333344.076,1180534.597,1152809.479,143.675,102.405,35.765,7509.211,3.22,7538.986,0.323,...,25183.148,1407.676,10.797,1.569,0.731,28.603,109.6,17673.937,9860.243,7813.694,7.577,76.911,74.009,79.972,63.274,60.453,66.232,17.916,15.992,19.738,8.382,7.213,9.254,306.028,11.991,24917.361,377.815,14.38,40.866,48.042,33.012,117.366,146.514,86.7,46.88,58.571,34.437,101.204,129.264,71.889,29.821,0.013
432,Estimates,Latin America and the Caribbean,,1830,,,419.0,SDG region,1828,2020.0,649524,651836.122,321312.047,330524.074,32.164,97.213,29.934,4788.092,7.345,4624.243,0.709,97.764,9854.193,1441.582,15.117,1.895,0.903,27.471,104.4,5066.101,2859.532,2206.569,7.772,73.095,69.663,76.715,59.497,56.139,63.027,16.184,14.448,17.824,7.304,6.398,8.002,136.82,13.854,9735.16,163.653,16.466,59.259,78.758,39.216,173,222.795,122.339,78.784,108.04,49.065,156.692,205.828,106.957,-163.805,-0.251
504,Estimates,Oceania (excluding Australia and New Zealand),,1835,,,543.0,SDG region,1828,2020.0,13081.584,13202.242,6780.609,6421.633,24.38,105.59,22.275,246.75,18.685,241.315,1.828,37.918,330.482,32.928,25.026,3.193,1.443,29.248,107.5,83.732,49.941,33.791,6.341,67.558,65.087,70.57,55.714,53.345,58.616,13.733,12.452,15.253,6.419,5.757,7.078,10.234,30.979,321.683,12.692,38.519,96.408,109.614,82.397,241.738,281.904,196.625,102.764,122.536,81.863,205.166,244.735,160.884,-5.347,-0.405
576,Estimates,Australia/New Zealand,,1836,,,53.0,SDG region,1828,2020.0,30570.675,30731.184,15246.064,15485.12,3.867,98.456,36.614,164.878,5.38,321.018,1.045,66.33,359.547,7.822,11.731,1.626,0.786,31.146,105.7,194.669,98.207,96.462,6.351,84.055,82.551,85.522,69.404,67.934,70.833,21.583,20.399,22.701,10.1,9.406,10.665,1.111,3.077,358.599,1.313,3.62,10.343,11.986,8.645,45.979,53.216,38.858,16.021,18.716,13.336,41.932,48.73,35.282,156.149,5.095
648,Estimates,Europe and Northern America,,1829,,,513.0,SDG region,1828,2020.0,1119869.707,1120182.028,545567.395,574614.632,27.5,94.945,40.278,-1682.541,-1.504,624.641,0.056,...,10981.12,377.393,9.814,1.529,0.736,29.973,105.3,12663.661,6513.316,6150.345,11.318,77.724,74.557,80.911,63.191,60.048,66.347,18.347,16.556,19.897,8.643,7.762,9.234,46.879,4.253,10940.954,56.238,5.041,31.963,42.864,20.62,118.964,157.716,79.325,54.401,74.415,33.805,113.514,151.981,74.232,2307.365,2.062
721,Estimates,More developed regions,d,901,,,514.0,Development Group,1803,2020.0,1275983.152,1276157.972,621695.065,654462.907,26.013,94.993,41.013,-2201.269,-1.727,349.64,0.027,...,12168.269,393.248,9.545,1.511,0.728,30.108,105.3,14369.538,7375.462,6994.076,11.272,78.576,75.425,81.743,64.026,60.899,67.164,18.954,17.094,20.58,9.035,8.054,9.703,49.452,4.05,12125.897,59.46,4.812,29.935,39.985,19.48,111.464,147.322,74.783,50.489,68.773,31.665,106.212,141.78,69.886,2551.098,2.001
